Date,Open,High,Low,Close,Adj Close,Volume
2017-03-08,1.060000,1.070000,1.040000,1.060000,1.060000,4102200
2017-03-09,1.000000,1.000000,0.920000,0.950000,0.950000,4006200
2017-03-10,0.950000,1.010000,0.950000,1.010000,1.010000,2090400
2017-03-13,1.010000,1.010000,0.980000,1.000000,1.000000,1308800
2017-03-14,1.000000,1.030000,0.960000,1.030000,1.030000,2660000
2017-03-15,1.020000,1.040000,1.000000,1.030000,1.030000,4747700
2017-03-16,1.030000,1.120000,1.030000,1.120000,1.120000,6778400
2017-03-17,1.130000,1.200000,1.110000,1.200000,1.200000,8019400
2017-03-20,1.200000,1.220000,1.180000,1.220000,1.220000,4535900
2017-03-21,1.220000,1.220000,1.170000,1.190000,1.190000,4232100
2017-03-22,1.180000,1.210000,1.160000,1.200000,1.200000,3284500
2017-03-23,1.190000,1.380000,1.190000,1.280000,1.280000,16509800
2017-03-24,1.270000,1.380000,1.270000,1.360000,1.360000,6103900
2017-03-27,1.320000,1.430000,1.310000,1.400000,1.400000,5596700
2017-03-28,1.440000,1.500000,1.410000,1.500000,1.500000,5899800
2017-03-29,1.500000,1.520000,1.380000,1.480000,1.480000,5266200
2017-03-30,1.480000,1.520000,1.450000,1.460000,1.460000,2930700
2017-03-31,1.470000,1.470000,1.330000,1.380000,1.380000,4749400
2017-04-03,1.370000,1.370000,1.310000,1.320000,1.320000,2948900
2017-04-04,1.300000,1.320000,1.250000,1.300000,1.300000,2369000
2017-04-05,2.380000,2.400000,1.910000,2.250000,2.250000,137143200
2017-04-06,2.380000,2.400000,2.020000,2.140000,2.140000,40948100
2017-04-07,2.080000,2.150000,2.000000,2.030000,2.030000,13970200
2017-04-10,2.050000,2.480000,1.970000,2.450000,2.450000,45650700
2017-04-11,2.420000,2.700000,2.380000,2.640000,2.640000,46783800
2017-04-12,2.630000,2.640000,2.300000,2.320000,2.320000,23472700
2017-04-13,2.280000,2.380000,2.200000,2.240000,2.240000,13177500
2017-04-17,2.290000,2.310000,2.130000,2.290000,2.290000,12477000
2017-04-18,2.260000,2.270000,2.180000,2.250000,2.250000,7283800
2017-04-19,2.260000,2.290000,2.200000,2.220000,2.220000,6301900
2017-04-20,2.210000,2.280000,2.160000,2.220000,2.220000,8757500
2017-04-21,2.220000,2.240000,2.070000,2.120000,2.120000,9721900
2017-04-24,2.150000,2.220000,2.070000,2.170000,2.170000,8613900
2017-04-25,2.190000,2.380000,2.190000,2.310000,2.310000,15306700
2017-04-26,2.330000,2.430000,2.260000,2.340000,2.340000,12686900
2017-04-27,2.350000,2.380000,2.260000,2.330000,2.330000,7456900
2017-04-28,2.330000,2.340000,2.210000,2.240000,2.240000,11325300
2017-05-01,2.260000,2.350000,2.230000,2.300000,2.300000,6536500
2017-05-02,2.300000,2.310000,2.200000,2.270000,2.270000,10354000
2017-05-03,2.260000,2.300000,2.210000,2.210000,2.210000,10769300
2017-05-04,2.200000,2.230000,2.100000,2.140000,2.140000,10122500
2017-05-05,2.140000,2.300000,2.110000,2.290000,2.290000,11425400
2017-05-08,2.290000,2.330000,2.220000,2.260000,2.260000,11494000
2017-05-09,2.010000,2.140000,1.980000,2.090000,2.090000,14269400
2017-05-10,2.060000,2.170000,2.050000,2.150000,2.150000,7740700
2017-05-11,2.170000,2.190000,2.050000,2.060000,2.060000,8809300
2017-05-12,2.070000,2.100000,2.020000,2.070000,2.070000,6238200
2017-05-15,2.080000,2.090000,2.040000,2.070000,2.070000,4800600
2017-05-16,2.070000,2.070000,2.020000,2.040000,2.040000,4303500
2017-05-17,1.880000,1.960000,1.720000,1.760000,1.760000,17266200
2017-05-18,1.750000,1.950000,1.730000,1.940000,1.940000,7618800
2017-05-19,1.930000,1.970000,1.890000,1.900000,1.900000,4748100
2017-05-22,1.900000,1.940000,1.850000,1.940000,1.940000,3758700
2017-05-23,1.930000,1.950000,1.870000,1.910000,1.910000,3511500
